CLAVE SITIO,CLAVE DE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,Año,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,TOX_V_15_UT,TOX_V_5_UT,P_TOT,ORTO_PO4,COLOR_VER,ABS_UV,SDT,CONDUC_CAMPO,pH_CAMPO,OD_%,OD_mg/L,SAAM,SST,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,CN_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,CAUDAL,DQO_ESTADO,SST_ESTADO,EC_ESTADO,SEMAFORO,y
DLPUE0001RNL21,DLPUE0001RNL21-100221,"CUERPO DE AGUA SUPERFICIAL, EN APOYO A PROCEDIMIENTO FISCALIA DEL ESTADO Y UNIDAD JURIDICA 1",LÓTICO,44237,2021,930.0,4600.0,,,,,1.0,,5.0,0.01,0.0105,6.13,0.01,6.13,0.01,,,,0.0035,,,,,2744.0,7.47,,,,15.0,,,,,,,,,158.99,32.0,26.0,,CUMPLE,CUMPLE,,,
DLPUE0002RNL,DLPUE0002RNL-280223,P2 LAGUNA DE SAN JUAN EPATLAN (EN DIRECCION A LA DESCARGA DE LA PTAR DEL MUNICIPIO DE XOCHILTEPEC),LÉNTICO,44985,2023,430.0,430.0,,,,,42.1,,72.61,0.003,0.005,0.25,0.5,0.25,0.5,,,,,0.075,,,722.0,1150.0,8.51,,6.86,0.03,22.0,8.1,,,,,,,,397.53,30.0,27.0,,INCUMPLE,CUMPLE,,ROJO,1.0
DLPUE0002RNL21,DLPUE0002RNL21-100221,"CUERPO DE AGUA SUPERFICIAL, EN APOYO A PROCEDIMIENTO FISCALIA DEL ESTADO Y UNIDAD JURIDICA 2",LÓTICO,44237,2021,4600.0,11000.0,,,,,1.0,,5.0,0.01,0.0105,5.47,0.01,5.47,0.01,,,,0.0035,,,,,2828.0,7.59,,,,15.0,,,,,,,,,,32.0,25.0,,CUMPLE,CUMPLE,,,
DLPUE0003RNL21,DLPUE0003RNL21-270421,"RIO NEXAPA  (PUENTE DE PUCTLA, AGUAS ARRIBA DE LA DESCARGA DE LA PTAR DE IZUCAR DE MATAMOROS)  ",LÓTICO,44313,2021,9300000.0,,,,,,,,,,,,,,,,,,,,,,,1565.0,7.95,,1.48,,,39.0,,,,,,,,518.63,32.0,26.0,,,,,,
DLPUE0004RNL21,DLPUE0004RNL21-270421,BARRANCA AGUA ESCONDIDA,LÓTICO,44313,2021,24000.0,,,,,,,,,,,,,,,,,,,,,,,835.0,7.49,,5.39,,,1.25,,,,,,,,310.42,30.0,26.0,,,,,,
DLPUE0004RNL21,DLPUE0004RNL21-070323,BARRANCA AGUA ESCONDIDA,LÓTICO,44992,2023,,,,,,,,,,,,,,,,,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLPUE0006RNL21,DLPUE0006RNL21-10621,"RIO AGUA FRIA, AGUAS ARRIBA DEL DERRAME",LÓTICO,44348,2021,,,,,,,,,,,,,,,,,,,,,,,,248.0,8.03,,,,,,,,,,,,,,32.0,31.0,,,,,,
DLPUE0007RNL21,DLPUE0007RNL21-10621,"RIO AGUA FRIA, EN EL SITIO DEL DERRAME",LÓTICO,44348,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLPUE0008RNL21,DLPUE0008RNL21-90621,ARROYO METLAPANAPA 1,LÓTICO,44356,2021,,,,,,,,,,,,,,,,,,,,,,,,247.0,8.11,,,,,,,,,,,,,,20.0,19.0,,,,,,
DLPUE0009RNL,DLPUE0009RNL-70322,EL TUNEL (MUESTRA MONITOREO CIUDADANO PROYECTO A 406),LÓTICO,44627,2022,700.0,1500.0,,,,,,,,,,,,,,,,,,,,,574.08,897.0,6.76,,2.63,,,5.9,,,,,,,,310.33,26.0,27.0,,,,,,
