CLAVE SITIO,CLAVE DE MONITOREO,NOMBRE DEL SITIO,FECHA REALIZACIÓN,Año,DQO_ESTADO,TIPO CUERPO DE AGUA,COLI_FEC,COLI_TOT,E_COLI,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,P_TOT,ORTO_PO4,COLOR_VER,ABS_UV,SDT,CONDUC_CAMPO,pH_CAMPO,OD_%,OD_mg/L,SAAM,SST,TURBIEDAD,CD_TOT,CR_TOT,HG_TOT,NI_TOT,CN_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,CAUDAL,COT_NOM,TOX_NOM,TIPO_LOTICO,y
DLPUE0002RNL,DLPUE0002RNL-280223,P2 LAGUNA DE SAN JUAN EPATLAN (EN DIRECCION A LA DESCARGA DE LA PTAR DEL MUNICIPIO DE XOCHILTEPEC),44985,2023,INCUMPLE,LÉNTICO,430.0,430.0,218.7795238997352,0.003,0.005,0.25,0.5,0.25,0.5,0.500826658660235,0.18235784730194382,0.075,15.846068176735878,0.1745000811874559,722.0,1150.0,8.51,80.26648615656474,6.86,0.03,22.0,8.1,0.0006779020090780267,0.01147847748391621,0.00018647379778902783,0.007174938609275487,0.0006248333728123943,397.53,30.0,27.0,3806.3003981847987,0,0,0,1.0
DLPUE0018RNL,DLPUE0018RNL-310523,MANANTIAL AXOMOL,45077,2023,CUMPLE,LÓTICO,23.0,39.0,21.586709391041943,0.003,0.005,0.35,0.5,0.35,0.5,0.8124933253269017,4.507913430052194,3.9919636682027653,151.5481617787732,0.34547055255278947,43.2886431080031,56.3,6.9,93.75421068528422,8.4,0.03,8.0,687.3242307692308,0.0058413696808980045,0.0635390153151224,0.00026968692948322725,0.07296458134920633,0.0019665943742116576,20.24,20.0,16.0,44824.75750754239,0,0,1,0.0
DLPUE0030RNL,DLPUE2036-070622,RED PRIMARIA Y SECUNDARIA DE AGUAS SUPERFICIALES NEXAPA LAS FAJANAS,44719,2022,INCUMPLE,LÓTICO,23000000.0,23000000.0,1972040.0,16.97,0.655,3.32,6.38,27.325,23.35,1.2375889577608352,5.1,3.59,80.0,0.6559079353692696,883.22,1416.0,7.99,64.7148595826537,5.08,0.75,117.78,39.0,0.0007226306274754311,0.035491968513673484,0.00034222760624114194,0.042032259315327766,0.02733312177873941,395.69,23.0,31.0,7484.563726233826,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-270316,ARROYO ZAPATERO,42450,2016,INCUMPLE,LÓTICO,2100.0,11000.0,280.0,1.211,0.0025,0.067,50.567,51.845,51.778,1.67,4.56,4.116,250.0,0.426,1280.0,2000.0,8.1,5.0,0.5,10.9,120.0,114.0,0.0006505,0.0006,0.00010065,0.00021,0.0005,490.0,14.7,15.0,9.3,1,0,1,1.0
DLPUE1975M1,DLPUE1975M1-240416,ARROYO ZAPATERO,42481,2016,INCUMPLE,LÓTICO,24000.0,24000.0,2100.0,1.692,0.054,0.094,25.616,27.456,27.308,0.5,5.029,4.196,250.0,0.513,721.92,1128.0,8.1,5.0,0.5,13.0,182.35,167.0,0.0006505,0.009,0.00010065,0.0319,0.0005,362.34,24.3,22.6,65.0,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-050616,ARROYO ZAPATERO,42524,2016,INCUMPLE,LÓTICO,24000.0,24000.0,4600.0,6.8,0.0025,0.277,7.493,14.57,14.293,1.49,4.927,4.616,250.0,0.548,935.68,1462.0,7.7,5.0,0.5,10.2,195.83,210.0,0.0006505,0.0106,0.00010065,0.0149,0.0005,420.0,25.2,23.7,24.4,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-240716,ARROYO ZAPATERO,42572,2016,INCUMPLE,LÓTICO,24000.0,24000.0,2400.0,48.143,0.123,0.581,2.373,51.22,50.516,1.26,4.613,2.695,150.0,0.324,1084.16,1694.0,7.3,5.0,0.5,7.0,583.33,462.0,0.0006505,0.03721,0.00010065,0.02146,0.0005,576.0,26.0,23.6,127.9,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-280816,ARROYO ZAPATERO,42607,2016,INCUMPLE,LÓTICO,24000.0,24000.0,4600.0,40.735,0.251,0.728,13.488,55.202,54.223,2.46,9.072,4.388,400.0,0.557,1103.36,1724.0,8.8,5.0,0.5,12.5,180.95,214.0,0.0006505,0.00814,0.00010065,0.00783,0.0005,416.0,26.4,21.9,63.3,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-021016,ARROYO ZAPATERO,42641,2016,INCUMPLE,LÓTICO,24000.0,24000.0,2400.0,29.314,0.264,0.199,21.668,51.445,50.982,1.25,3.435,1.186,250.0,0.442,885.12,1383.0,8.3,5.0,0.5,5.5,142.5,135.0,0.0006505,0.00944,0.00010065,0.00508,0.0005,360.0,25.1,21.1,63.5,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-120217,ARROYO ZAPATERO,42775,2017,INCUMPLE,LÓTICO,11000.0,24000.0,4600.0,43.599,0.0025,0.049,51.756,95.404,95.355,1.62,13.194,5.603,200.0,0.349,1230.08,1922.0,8.2,5.0,0.5,9.8,179.41,243.0,0.0006505,0.00635,0.0006,0.00677,0.0005,484.0,26.4,19.3,31.4,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-020417,ARROYO ZAPATERO,42821,2017,INCUMPLE,LÓTICO,24000.0,24000.0,24000.0,50.255,0.0025,1.195,53.032,104.482,103.287,1.21,10.85,6.026,200.0,0.412,1170.944,1829.6,7.4,5.0,0.5,5.8,277.78,278.0,0.0006505,0.00737,0.00010065,0.00789,0.0005,596.0,22.7,19.0,11.7,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-140517,ARROYO ZAPATERO,42863,2017,INCUMPLE,LÓTICO,24000.0,24000.0,24000.0,63.9,0.059,0.059,54.634,118.652,118.534,1.53,8.544,4.37,200.0,0.325,1232.832,1926.3,7.9,5.0,0.5,13.2,67.31,92.3,0.0006505,0.01319,0.00010065,0.00693,0.0005,500.0,23.5,20.5,37.6,1,0,1,1.0
DLPUE1975M1,DLPUE1975M1-090717,ARROYO ZAPATERO,42919,2017,INCUMPLE,LÓTICO,4600.0,11000.0,2400.0,7.954,0.728,1.887,10.424,20.993,18.378,0.5,2.309,1.4,80.0,0.345,572.544,894.6,7.7,26.0,1.95,1.55,16.88,13.5,0.0006505,0.01527,0.00010065,0.0058,0.005,422.0,19.2,17.6,85.5,0,0,1,1.0
DLPUE1975M1,DLPUE1975M1-200817,ARROYO ZAPATERO,42961,2017,INCUMPLE,LÓTICO,24000.0,24000.0,24000.0,13.405,0.0025,0.0155,1.588,14.993,14.993,0.5,2.306,1.924,80.0,0.285,931.2,1455.0,8.1,14.3,1.33,2.917,67.44,57.3,0.0006505,0.02784,0.00010065,0.00763,0.0005,318.0,19.7,19.1,32.3,0,0,1,1.0
DLPUE1975M1,DLPUE1975M1-240917,ARROYO ZAPATERO,42996,2017,INCUMPLE,LÓTICO,24000.0,24000.0,24000.0,5.013,1.068,1.058,3.198,10.337,8.211,0.5,1.117,0.892,60.0,0.256,572.8000000000001,895.0,7.8,55.1,4.25,2.103,26.0,22.9,0.0006505,0.0006,0.00010065,0.00587,0.0005,386.0,22.5,21.5,85.9,0,0,1,1.0
DLPUE1975M1,DLPUE1975M1-280118,ARROYO ZAPATERO,43122,2018,INCUMPLE,LÓTICO,24000.0,24000.0,24000.0,6.65,0.0025,0.0155,5.315,11.965,11.965,1.14,4.955,3.518,150.0,0.39,911.36,1424.0,8.1,5.0,0.5,9.412,108.93,101.0,0.0006505,0.03916,0.00010065,0.01176,0.0005,542.0,24.1,18.4,164.7,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-110318,ARROYO ZAPATERO,43164,2018,INCUMPLE,LÓTICO,24000.0,24000.0,11000.0,53.158,0.0025,0.0155,38.122,91.28,91.28,0.5,8.303,5.808,150.0,0.426,1094.4,1710.0,8.3,5.0,0.5,9.729,150.0,156.0,0.0006505,0.00703,0.00074,0.01376,0.0005,576.0,16.8,17.7,34.7,0,1,1,1.0
DLPUE1975M1,DLPUE1975M1-150418,ARROYO ZAPATERO,43206,2018,INCUMPLE,LÓTICO,24000.0,24000.0,24000.0,49.308,0.0025,0.0155,1.964,51.272,51.272,1.28,6.529,5.171,200.0,0.351,902.4,1410.0,8.2,5.0,0.5,1.656,80.0,81.6,0.0006505,0.01876,0.00010065,0.00822,0.0005,464.0,25.2,18.9,36.3,0,1,1,1.0
DLPUE1975M1,DLPUE1975M1-100618,ARROYO ZAPATERO,43256,2018,INCUMPLE,LÓTICO,24000.0,24000.0,24000.0,0.724,0.0025,0.0155,0.401,1.125,1.125,1.11,3.506739564657728,1.867251183299278,150.0,1.776,1196.8,1870.0,8.1,5.0,0.5,14.478,101.82,88.2,0.0006505,0.03556,0.00010065,0.00684,0.0005,580.0,27.0,21.3,115.4,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-281018,ARROYO ZAPATERO,43398,2018,INCUMPLE,LÓTICO,24000.0,24000.0,24000.0,28.566,0.0025,0.0155,6.173,34.739,34.739,1.39,7.34,4.977,150.0,0.25,1162.24,1816.0,8.8,5.0,0.5,0.102,60.56,71.9,0.0006505,0.09262,0.00010065,0.00697,0.0005,460.35,14.5,16.0,11.9,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-231218,ARROYO ZAPATERO,43454,2018,INCUMPLE,LÓTICO,2400.0,4600.0,930.0,38.944,0.0025,0.0155,10.758,49.702,49.702,1.21,7.971,6.623,250.0,0.258,1406.08,2197.0,8.1,19.3,1.57,12.907,85.71,97.5,0.0006505,0.03785,0.00010065,0.00321,0.0005,438.0,12.5,12.6,9.8,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-170219,ARROYO ZAPATERO,43507,2019,INCUMPLE,LÓTICO,24000.0,24000.0,24000.0,55.64,0.0025,0.0155,7.961,63.601,63.601,1.18,7.58,4.352,200.0,0.535,1507.84,2356.0,7.8,5.0,0.5,9.301,137.14,148.0,0.0006505,0.0176,0.00052,0.00665,0.0005,468.0,16.1,13.0,33.5,1,1,1,1.0
DLPUE1975M1,DLPUE1975M1-110819,ARROYO ZAPATERO,43684,2019,INCUMPLE,LÓTICO,24196.0,24196.0,24196.0,7.715916,0.804,0.491033,4.53805,13.548999,12.253966,0.5,1.56227,1.06745,100.0,0.229,432.0,675.0,7.8,27.3,2.68,0.755,56.0,40.0,0.0006505,0.0182,0.00010065,0.0101,0.0018,195.867,21.4,19.3,133.0,0,0,1,1.0
DLPUE1975M1,DLPUE1975M1-090820,ARROYO ZAPATERO,44049,2020,INCUMPLE,LÓTICO,24000.0,24130.553652180584,24000.0,10.0,0.0025,0.0155,0.869,10.869,10.869,0.5,1.903,1.689,80.0,0.26877602683146257,583.04,911.0,8.3,5.0,0.5,3.062,38.71,57.0,0.0006505,0.01434,0.00010065,0.01705,0.0005,266.0,28.1,24.5,102.4,0,0,1,1.0
