"CLAVE SITIO","CLAVE DE MONITOREO","NOMBRE DEL SITIO","FECHA REALIZACIÓN","Año","DQO_ESTADO","TIPO CUERPO DE AGUA","COLI_FEC","COLI_TOT","E_COLI","N_NH3","N_NO2","N_TOTK","TOX_D_48_UT","P_TOT","ORTO_PO4","COLOR_VER","ABS_UV","CONDUC_CAMPO","pH_CAMPO","OD_mgL","SAAM","SST","CD_TOT","CR_TOT","HG_TOT","NI_TOT","CN_TOT","DUR_TOT","TEMP_AMB","TEMP_AGUA","CAUDAL","COT_NOM","TOX_NOM","TIPO_LOTICO","y"
"DLPUE2043","DLPUE2043-240416","RIO NEXAPA 17",42479,2016,"INCUMPLE","LÓTICO",930,2400,90,0.038,0.047,0.931,0.5,0.137,0.137,20,0.096,1621,8.3,5.66,0.08,12,0.0006505,0.0088,0.00010065,0.0113,5e-04,680,31.4,24.1,130.6,0,0,1,1
"DLPUE2044","DLPUE2044-010418","RIO NEXAPA 16",43195,2018,"CUMPLE","LÓTICO",110,200,70,0.231,0.0025,0.376,0.5,0.255,0.113,5,0.042,1005,8.1,3.21,0.141,5,0.0006505,6e-04,0.00010065,0.00651,5e-04,746,25.9,20.6,1694.8,0,0,1,0
"DLPUE2034","DLPUE2034-190616","RIO NEXAPA 15",42538,2016,"INCUMPLE","LÓTICO",24000,24000,930,5.262,0.54,10.165,0.5,1.662,1.151,40,0.17,905,8.2,6.24,0.6,505,0.0006505,0.0264,0.00010065,0.0231,5e-04,282,20.2,19.8,4485.54885928619,0,0,1,1
"DLPUE2054","DLPUE2054-170313","RIO XOCHIAC AGUAS ABAJO DEL COLECTOR EL CARMEN CONFLUENCIA CON RIO XOCHIAC",41346,2013,"INCUMPLE","LÓTICO",24000,240000,24000,1.222,0.026,4.209,4.06,1.883,0.218,150,0.0045,1858,7.03,0.5,4.47650740425532,204,0.0006505,6e-04,0.00010065,0.00021,0.011257225522666,136,26.5,28.8,20.9,1,0,1,1
"DLPUE2041","DLPUE2041-260715","NEXAPA ENTRADA A PUCTLA",42207,2015,"INCUMPLE","LÓTICO",24000,24000,11000,0.063,0.193,1.551,0.5,1.597,0.822,100,0.348,713.3,8.1,4.6,0.16,1213.33,0.0044,0.0604,7e-04,0.06,5e-04,260,25.9,24,3557,0,0,1,1
"DLPUE2034","DLPUE2034-290614","RIO NEXAPA 15",41817,2014,"INCUMPLE","LÓTICO",24000,24000,750,1.088,0.451,1.088,0.5,0.952,0.611,100,0.395,572.6,7,4.9,0.005,680,0.0006505,0.034,0.00010065,0.0297,5e-04,229.7,23.9,20.2,10488,0,0,1,1
"DLPUE2074M1","DLPUE2074M1-140914","SANTA MARÍA TEXMELUCAN",41894,2014,"CUMPLE","LÓTICO",24000,24000,11000,0.00175,0.0025,0.00175,0.5,0.081,0.059,2.5,0.042,92,7,7.1,0.277,18,0.0006505,0.0072,0.00010065,0.0021,5e-04,34,17.5,10.4,68,0,0,1,0
"DLPUE2038","DLPUE2038-110819","BACARDI Y COMPAÑIA, S.A. DE C.V. (AGUAS ARRIBA)",43687,2019,"INCUMPLE","LÓTICO",24196,24196,24196,3.836055,1.052217,7.765835,0.5,1.82306,0.85272,30,0.162,917,8,7.79,0.246,167.5,0.0006505,0.03,9.4e-05,0.0333,0.0025,293.598,29.2,21.8,167490.772051155,0,0,1,1
"DLPUE1992M1","DLPUE1992M1-120217","RA-1 RIO ATOYAC, ANTES TLAHUAPAN (ESTACIÓN TESTIGO)",42773,2017,"CUMPLE","LÓTICO",1500,2100,750,1.154,0.0025,1.235,0.5,0.5,0.39,10,0.054,231,8,4.61,0.005,5,0.0006505,6e-04,0.00066,0.00397,5e-04,90,21.1,11.9,639.4,0,0,1,0
"DLPUE2031","DLPUE2031-210615","RIO NEXAPA 10",42174,2015,"INCUMPLE","LÓTICO",24000,24000,11000,1.044,0.118,4.271,0.5,1.306,0.984,100,0.377,484,7.3,3.4,0.28,1010,0.0051,0.039,0.00010065,0.0556,5e-04,194,21.8,19.6,4906,0,0,1,1
"DLPUE2038","DLPUE2038-251112","BACARDI Y COMPAÑIA, S.A. DE C.V. (AGUAS ARRIBA)",41227,2012,"INCUMPLE","LÓTICO",2400,2400,150,4.74,0.0025,8.19,0.5,1.573,4.814,2.5,0.034,1245.25,8.43,3.7,1.6619307188656,63,0.011,6e-04,0.00010065,0.00021,0.0020258471687276,348.88,23,20.7,142.1,0,0,1,1
"DLPUE2047","DLPUE2047-270518","RIO NEXAPA 19",43241,2018,"CUMPLE","LÓTICO",11000,24000,4600,0.147,0.068,0.241,0.5,0.277,0.223,10,0.71,783,7.7,4.0209251215158,0.005,16,0.0006505,0.02459,0.00010065,0.00472,5e-04,1040,26.5,21.8,2550,0,0,1,0
"DLPUE2083","DLPUE2083-190616","RIO MIXTECO (ANTES DE CONFLUIR AL RIO ATOYAC)",42535,2016,"INCUMPLE","LÓTICO",2400,2400,430,1.506,0.0258,2.357,0.5,3.44,2.465,20,0.101,637,7.1,4.26,0.09,9550,0.0173,0.1205,8e-04,0.0883,5e-04,1232,27.2,25.8,40123.5916300366,0,0,1,1
"DLPUE2066","DLPUE2066-200915","DESPUES DE BACHOCO",42266,2015,"INCUMPLE","LÓTICO",24000,24000,11000,4.705,0.0025,87.893,0.5,2.958,1.281,400,0.849,1589,7.7,0.5,5,180,0.0006505,6e-04,7e-04,0.0082,5e-04,282,23.2,21.8,15,1,0,1,1
"DLPUE2025","DLPUE2025-021212","RIO NEXAPA 6",41260,2012,"CUMPLE","LÓTICO",2400,2400,14,1.58,0.174,2.52,0.5,0.406,1.242,2.5,0.0045,331,7.88,4.9,2.34438573675541,5,0.0006505,6e-04,0.00010065,0.068,0.0010298659328083,143.08,20,14.5,183,0,0,1,0
"DLPUE2063","DLPUE2063-270714","PUEBLA ALSESECA  (A) AGUAS ARRIBA",41843,2014,"INCUMPLE","LÓTICO",24000,24000,4600,1.83,0.083,22.675,0.5,6.438,5.809,120,0.891,1651,7.8,1,5.824,68.6,0.0006505,0.0096,0.00010065,0.0123,5e-04,292,21.3,18.9,593.3,1,1,1,1
"DLPUE2030","DLPUE2030-210413","RIO NEXAPA 11",41384,2013,"INCUMPLE","LÓTICO",1400,2000,900,1.592,0.0025,28.285,1.02,6.888,6.29,100,0.396,1874,7.86,2.6,6.64274203096539,10,0.0006505,6e-04,0.00010065,0.00021,0.0008854398874243,640,22.5,21.2,4463.5,0,0,1,1
"DLPUE2036","DLPUE2036-020820","NEXAPA-LAS FAJANAS P1 (33)",44043,2020,"INCUMPLE","LÓTICO",24000,24130.5536521806,24000,6.432,0.723,6.651,0.5,1.892,1.203,40,0.159015316223914,1463,7.9,3.3,0.116,241.18,0.0006505,0.03523,0.00010065,0.01991,5e-04,260,23.7,19.8,3842.60217635717,0,0,1,1
